scenario,workflow_yaml,agents_used,num_agents,num_steps,complexity,is_valid,error_message
"""Gather customer feedback from our website, analyze the sentiments expressed, and generate a report summarizing the key insights along with visualizations to highlight major trends.""","assets:
  customer_feedback_data:
    agent: UserInputAgent
    description: ""Gather customer feedback from the website""
    type: text
    checks:
      - ""no_null_values: [feedback_text]""
      - ""length > 0""

  analyzed_sentiment_data:
    agent: MleAgent
    description: ""Analyze sentiments expressed in customer feedback""
    type: model
    inputs: [customer_feedback_data]
    checks:
      - ""accuracy > 0.80""
      - ""required_features: [feedback_text]""

  sentiment_summary_report:
    agent: AnswererAgent
    description: ""Generate a report summarizing key insights from sentiment analysis""
    type: table
    inputs: [analyzed_sentiment_data]
    checks:
      - ""row_count > 0""
      - ""columns: [insight, sentiment_score, feedback_count]""

  sentiment_trend_visualization:
    agent: VisualizationAgent
    description: ""Create visualizations to highlight major sentiment trends""
    type: image
    inputs: [sentiment_summary_report]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [1920, 1080]""","['VisualizationAgent', 'UserInputAgent', 'AnswererAgent', 'MleAgent']",4,4,simple_chain,True,
"""Search for the latest customer feedback on our product using DuckDuckGo, compile the findings into a structured summary, and visualize the sentiment trends over the past month.""","assets:
  customer_feedback_data:
    agent: DuckDuckGoSearchAgent
    description: ""Extract the latest customer feedback on the product from DuckDuckGo""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  structured_feedback_summary:
    agent: UrlRetrieverAgent
    description: ""Combine URL content from customer feedback into structured summaries""
    type: table
    inputs: [customer_feedback_data]
    checks:
      - ""row_count >= customer_feedback_data.row_count * 0.9""
      - ""columns: [summary, sentiment_score, url]""
      - ""no_empty_values: [summary, sentiment_score]""

  sentiment_trend_visualization:
    agent: VisualizationAgent
    description: ""Create a visual representation of sentiment trends over the past month""
    type: image
    inputs: [structured_feedback_summary]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [width: 1920, height: 1080]""
      - ""format: png""","['UrlRetrieverAgent', 'VisualizationAgent', 'DuckDuckGoSearchAgent']",3,3,simple_chain,True,
"""Gather user feedback from our website, analyze the sentiment of the comments, and then create a report summarizing the key insights along with visualizations of the sentiment trends.""","assets:
  user_feedback_data:
    agent: UserInputAgent
    description: ""Gather user feedback comments from the website""
    type: text
    checks:
      - ""no_empty_values: [comments]""

  sentiment_analysis_results:
    agent: MleAgent
    description: ""Analyze user feedback for sentiment and extract patterns""
    type: model
    inputs: [user_feedback_data]
    checks:
      - ""accuracy > 0.75""
      - ""required_features: [text_length, sentiment_score]""

  sentiment_summary_report:
    agent: AnswererAgent
    description: ""Combine sentiment analysis results into a comprehensive summary""
    type: table
    inputs: [sentiment_analysis_results]
    checks:
      - ""row_count > 0""
      - ""columns: [summary, key_insights]""
      - ""no_empty_values: [summary]""

  sentiment_trends_visualization:
    agent: VisualizationAgent
    description: ""Create visualization of sentiment trends over time""
    type: image
    inputs: [sentiment_summary_report]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [width: 800, height: 600]""","['VisualizationAgent', 'UserInputAgent', 'AnswererAgent', 'MleAgent']",4,4,simple_chain,True,
"""Gather customer feedback from our support tickets, analyze the sentiments to identify trends, and generate a visually appealing report summarizing the findings for our monthly review meeting.""","assets:
  customer_support_tickets:
    agent: DocumentRetrieverAgent
    description: ""Extract customer feedback from support ticket documents""
    type: text
    checks:
      - ""non_empty: true""
      - ""no_null_values: [customer_id, feedback_text]""

  sentiment_analysis_results:
    agent: MleAgent
    description: ""Analyze sentiments from customer feedback to identify trends""
    type: model
    inputs: [customer_support_tickets]
    checks:
      - ""accuracy > 0.75""
      - ""required_features: [feedback_text, customer_id]""

  sentiment_trends_report:
    agent: VisualizationAgent
    description: ""Create a visual report summarizing sentiment trends for review""
    type: image
    inputs: [sentiment_analysis_results]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [1920, 1080]""
      - ""format: png""","['DocumentRetrieverAgent', 'VisualizationAgent', 'MleAgent']",3,3,simple_chain,True,
"""Gather recent news articles about renewable energy, extract relevant information on new technologies from the top five articles, and generate a concise summary table highlighting the key points.""","assets:
  recent_news_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Extract recent news articles about renewable energy""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, publication_date, summary]""
      - ""no_empty_values: [title, url]""

  extracted_technology_info:
    agent: UrlRetrieverAgent
    description: ""Extract relevant information on new technologies from the top five articles""
    type: text
    inputs: [recent_news_articles]
    checks:
      - ""no_empty_values: [text_content]""

  summary_table:
    agent: AnswererAgent
    description: ""Generate a concise summary table highlighting key points from the extracted information""
    type: table
    inputs: [extracted_technology_info]
    checks:
      - ""row_count > 0""
      - ""columns: [key_point, article_reference]""
      - ""no_empty_values: [key_point, article_reference]""","['UrlRetrieverAgent', 'AnswererAgent', 'DuckDuckGoSearchAgent']",3,3,simple_chain,True,
"""Gather the latest articles on climate change from both DuckDuckGo and Brave, combine the insights into a structured summary table, and then generate a visual infographic to present the key findings.""","assets:
  duckduckgo_climate_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Extract latest articles on climate change from DuckDuckGo""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  brave_climate_articles:
    agent: BraveSearchAgent
    description: ""Extract latest articles on climate change from Brave""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  combined_climate_articles_summary:
    agent: UrlRetrieverAgent
    description: ""Combine articles from DuckDuckGo and Brave into a structured summary""
    type: table
    inputs: [duckduckgo_climate_articles, brave_climate_articles]
    checks:
      - ""row_count == duckduckgo_climate_articles.row_count + brave_climate_articles.row_count""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title]""

  climate_insights_infographic:
    agent: VisualizationAgent
    description: ""Generate a visual infographic presenting key findings on climate change""
    type: image
    inputs: [combined_climate_articles_summary]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [width: 1920, height: 1080]""
      - ""format: png""","['UrlRetrieverAgent', 'BraveSearchAgent', 'VisualizationAgent', 'DuckDuckGoSearchAgent']",4,4,simple_chain,True,
"""Gather recent news articles on climate change, extract the key points from the top 10 articles, and generate a summary table for our research team to review.""","assets:
  recent_climate_change_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Extract recent news articles related to climate change""
    type: table
    checks:
      - ""row_count >= 10""
      - ""columns: [title, url, date, snippet]""
      - ""no_empty_values: [title, url]""

  key_points_extracted:
    agent: DocumentRetrieverAgent
    description: ""Extract key points from the top 10 climate change articles""
    type: text
    inputs: [recent_climate_change_articles]
    checks:
      - ""length > 0""
      - ""no_empty_values: [key_points]""

  summary_table:
    agent: AnswererAgent
    description: ""Generate a summary table of key points for research team review""
    type: table
    inputs: [key_points_extracted]
    checks:
      - ""row_count > 0""
      - ""columns: [summary, article_reference]""
      - ""no_empty_values: [summary, article_reference]""","['DocumentRetrieverAgent', 'AnswererAgent', 'DuckDuckGoSearchAgent']",3,3,simple_chain,True,
"""Conduct a search for the latest technology trends using DuckDuckGo, compile the findings into a structured summary, and then visualize the key trends in an infographic format.""","assets:
  technology_trends_search_results:
    agent: DuckDuckGoSearchAgent
    description: ""Extract the latest technology trends from DuckDuckGo search results""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  technology_trends_summary:
    agent: UrlRetrieverAgent
    description: ""Compile extracted search results into a structured summary""
    type: table
    inputs: [technology_trends_search_results]
    checks:
      - ""row_count >= technology_trends_search_results.row_count""
      - ""columns: [summary, source_url, relevance_score]""
      - ""no_empty_values: [summary, source_url]""

  technology_trends_infographic:
    agent: VisualizationAgent
    description: ""Create an infographic to visualize key technology trends""
    type: image
    inputs: [technology_trends_summary]
    checks:
      - ""file_size < 5MB""
      - ""dimensions: [width: 1200, height: 800]""
      - ""format: png""","['UrlRetrieverAgent', 'VisualizationAgent', 'DuckDuckGoSearchAgent']",3,3,simple_chain,True,
"""Gather recent articles about climate change from both Brave and DuckDuckGo search engines, extract the key points from each article, and compile a structured table summarizing the findings for a research report.""","assets:
  brave_search_results:
    agent: BraveSearchAgent
    description: ""Extract recent articles about climate change from Brave search engine""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  duckduckgo_search_results:
    agent: DuckDuckGoSearchAgent
    description: ""Extract recent articles about climate change from DuckDuckGo search engine""
    type: table
    checks:
      - ""row_count >= 5""
      - ""columns: [title, url, snippet]""
      - ""no_empty_values: [title, url]""

  combined_search_results:
    agent: UrlRetrieverAgent
    description: ""Combine and summarize articles from Brave and DuckDuckGo search results""
    type: table
    inputs: [brave_search_results, duckduckgo_search_results]
    checks:
      - ""row_count >= 10""
      - ""columns: [title, url, summary]""
      - ""no_empty_values: [title, url, summary]"" 

  final_research_summary:
    agent: AnswererAgent
    description: ""Compile a structured table summarizing the findings for the research report""
    type: table
    inputs: [combined_search_results]
    checks:
      - ""row_count > 0""
      - ""columns: [title, summary]""
      - ""no_empty_values: [title, summary]""","['UrlRetrieverAgent', 'BraveSearchAgent', 'AnswererAgent', 'DuckDuckGoSearchAgent']",4,4,simple_chain,True,
"""Gather recent news articles about sustainable energy technologies, extract key information from the articles, and summarize the findings in a structured report.""","assets:
  recent_news_articles:
    agent: DuckDuckGoSearchAgent
    description: ""Extract recent news articles about sustainable energy technologies""
    type: table
    checks:
      - ""row_count > 0""
      - ""columns: [title, url, published_date, snippet]""
      - ""no_empty_values: [title, url]""

  extracted_key_information:
    agent: UrlRetrieverAgent
    description: ""Extract key information from the recent news articles""
    type: text
    inputs: [recent_news_articles]
    checks:
      - ""length > 0""
      - ""no_empty_values: [key_information]""

  summarized_report:
    agent: AnswererAgent
    description: ""Summarize the findings from the extracted key information into a structured report""
    type: table
    inputs: [extracted_key_information]
    checks:
      - ""row_count > 0""
      - ""columns: [summary, source_url, relevance_score]""
      - ""no_empty_values: [summary, source_url]""","['UrlRetrieverAgent', 'AnswererAgent', 'DuckDuckGoSearchAgent']",3,3,simple_chain,True,
